,,,,,,,,
,,,,,,,,
Characteristic Energy eV,1486.6,Acquisition Time s,2.5,,,,,
282.75,9122,9169.28,9026.34,9000.25,9000.12,9005.95,9000.08,9201.61
282.625,9113.6,9130.37,9022.76,9000.11,8999.99,9005.35,8999.95,9158.76
282.5,9145.6,9102.41,9019.75,8999.94,8999.82,9004.76,8999.79,9127.53
282.375,8948.8,9082.14,9017.33,8999.88,8999.76,9004.33,8999.73,9104.5
282.25,9000,9067.13,9015.34,8999.87,8999.76,9003.99,8999.73,9087.15
282.125,9028.8,9055.72,9013.61,8999.83,8999.73,9003.65,8999.7,9073.73
282,8936,9046.83,9012.09,8999.76,8999.66,9003.3,8999.63,9063.12
281.875,8995.6,9039.85,9010.84,8999.75,8999.65,9003.04,8999.62,9054.63
281.75,9012.4,9034.24,9009.74,8999.73,8999.64,9002.8,8999.61,9047.7
281.625,9008.4,9029.66,9008.79,8999.71,8999.62,9002.58,8999.6,9041.96
281.5,8978,9004.28,8986.36,8978.11,8978.02,8980.8,8978,9015.56
281.375,8937.6,8960.73,8945.23,8937.7,8937.62,8940.22,8937.6,8971.11
281.25,8924.4,8944.88,8931.38,8924.5,8924.42,8926.86,8924.4,8954.44
281.125,8932.8,8951.02,8939.21,8932.89,8932.82,8935.12,8932.8,8959.86
281,8965.6,8981.9,8971.5,8965.69,8965.62,8967.78,8965.6,8990.08
280.875,8972,8986.64,8977.44,8972.09,8972.02,8974.06,8972,8994.24
280.75,9002,9015.2,9007.03,9002.08,9002.02,9003.94,9002,9022.27
280.625,9028,9039.94,9032.66,9028.08,9028.02,9029.84,9028,9046.53
280.5,9001.6,9012.44,9005.92,9001.68,9001.62,9003.34,9001.6,9018.6
280.375,9022,9031.88,9026.02,9022.07,9022.02,9023.65,9022,9037.63
280.25,8904.4,8913.43,8908.14,8904.47,8904.42,8905.96,8904.4,8918.82
280.125,8876.4,8884.67,8879.89,8876.47,8876.42,8877.88,8876.4,8889.73
280,8904.8,8912.4,8908.07,8904.87,8904.82,8906.21,8904.8,8917.15
